name,id,base_experience,weight,height,bmi,order,type_1,type_2,sprite
Mankey,56,61.0,280.0,5.0,112.0,95,fighting,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png
Primeape,57,159.0,320.0,10.0,32.0,96,fighting,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png
Growlithe,58,70.0,190.0,7.0,38.775513,97,fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png
Arcanine,59,194.0,1550.0,19.0,42.93629,98,fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png
Poliwag,60,60.0,124.0,6.0,34.44444,99,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png
Poliwhirl,61,135.0,200.0,10.0,20.0,100,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png
Poliwrath,62,255.0,540.0,13.0,31.952665,101,water,fighting,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png
Abra,63,62.0,195.0,9.0,24.074076,103,psychic,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png
Kadabra,64,140.0,565.0,13.0,33.431953,104,psychic,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png
Alakazam,65,250.0,480.0,15.0,21.333334,105,psychic,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png
Machop,66,61.0,195.0,8.0,30.46875,107,fighting,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png
Machoke,67,142.0,705.0,15.0,31.333334,108,fighting,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png
Machamp,68,253.0,1300.0,16.0,50.78125,109,fighting,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png
Bellsprout,69,60.0,40.0,7.0,8.163265,110,grass,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png
Weepinbell,70,137.0,64.0,10.0,6.4,111,grass,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png
Victreebel,71,221.0,155.0,17.0,5.3633213,112,grass,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png
Tentacool,72,67.0,455.0,9.0,56.172844,113,water,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png
Tentacruel,73,180.0,550.0,16.0,21.484375,114,water,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png
Geodude,74,60.0,200.0,4.0,125.0,115,rock,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png
Graveler,75,137.0,1050.0,10.0,105.0,117,rock,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png
Golem,76,223.0,3000.0,14.0,153.06123,119,rock,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png
Ponyta,77,82.0,300.0,10.0,30.0,121,fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png
Rapidash,78,175.0,950.0,17.0,32.87197,123,fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png
Slowpoke,79,63.0,360.0,12.0,24.999998,125,water,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png
Slowbro,80,172.0,785.0,16.0,30.664062,127,water,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png
Magnemite,81,65.0,60.0,3.0,66.666664,132,electric,steel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png
Magneton,82,163.0,600.0,10.0,60.0,133,electric,steel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png
Farfetchd,83,132.0,150.0,8.0,23.4375,135,normal,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/83.png
Doduo,84,62.0,392.0,14.0,20.000002,137,normal,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png
Dodrio,85,165.0,852.0,18.0,26.296297,138,normal,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/85.png
Seel,86,65.0,900.0,11.0,74.380165,139,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.png
Dewgong,87,166.0,1200.0,17.0,41.522488,140,water,ice,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.png
Grimer,88,65.0,300.0,9.0,37.03704,141,poison,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/88.png
Muk,89,175.0,300.0,12.0,20.833332,143,poison,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.png
Shellder,90,61.0,40.0,3.0,44.444443,145,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.png
Cloyster,91,184.0,1325.0,15.0,58.88889,146,water,ice,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png
Gastly,92,62.0,1.0,13.0,0.059171602,147,ghost,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/92.png
Haunter,93,142.0,1.0,16.0,0.0390625,148,ghost,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/93.png
Gengar,94,250.0,405.0,15.0,18.0,149,ghost,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.png
Onix,95,77.0,2100.0,88.0,2.7117767,151,rock,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/95.png
Drowzee,96,66.0,324.0,10.0,32.4,154,psychic,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/96.png
Hypno,97,169.0,756.0,16.0,29.531248,155,psychic,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/97.png
Krabby,98,65.0,65.0,4.0,40.625,156,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/98.png
Kingler,99,166.0,600.0,13.0,35.50296,157,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/99.png
Voltorb,100,66.0,104.0,5.0,41.6,158,electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/100.png
Electrode,101,172.0,666.0,12.0,46.249996,159,electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/101.png
Exeggcute,102,65.0,25.0,4.0,15.625,160,grass,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/102.png
Exeggutor,103,186.0,1200.0,20.0,30.0,161,grass,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/103.png
Cubone,104,64.0,65.0,4.0,40.625,163,ground,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/104.png
Marowak,105,149.0,450.0,10.0,45.0,164,ground,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/105.png
Hitmonlee,106,159.0,498.0,15.0,22.133333,168,fighting,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/106.png
Hitmonchan,107,159.0,502.0,14.0,25.612246,169,fighting,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/107.png
Lickitung,108,77.0,655.0,12.0,45.486107,171,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/108.png
Koffing,109,68.0,10.0,6.0,2.7777777,173,poison,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/109.png
Weezing,110,172.0,95.0,12.0,6.597222,174,poison,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/110.png
Rhyhorn,111,69.0,1150.0,10.0,115.0,176,ground,rock,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/111.png
Rhydon,112,170.0,1200.0,19.0,33.240997,177,ground,rock,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/112.png
Chansey,113,395.0,346.0,11.0,28.59504,180,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/113.png
Tangela,114,87.0,350.0,10.0,35.0,182,grass,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/114.png
Kangaskhan,115,172.0,800.0,22.0,16.528925,184,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/115.png
Horsea,116,59.0,80.0,4.0,50.0,186,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/116.png
Seadra,117,154.0,250.0,12.0,17.361109,187,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/117.png
Goldeen,118,64.0,150.0,6.0,41.666664,189,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/118.png
Seaking,119,158.0,390.0,13.0,23.076925,190,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/119.png
Staryu,120,68.0,345.0,8.0,53.90625,191,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/120.png
Starmie,121,182.0,800.0,11.0,66.1157,192,water,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/121.png
Mr-mime,122,161.0,545.0,13.0,32.248524,194,psychic,fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/122.png
Scyther,123,100.0,560.0,15.0,24.88889,196,bug,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/123.png
Jynx,124,159.0,406.0,14.0,20.714285,200,ice,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/124.png
Electabuzz,125,172.0,300.0,11.0,24.793386,202,electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/125.png
Magmar,126,173.0,445.0,13.0,26.331364,205,fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/126.png
Pinsir,127,175.0,550.0,15.0,24.444445,207,bug,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/127.png
Tauros,128,172.0,884.0,14.0,45.102043,209,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/128.png
Magikarp,129,40.0,100.0,9.0,12.345679,210,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/129.png
Gyarados,130,189.0,2350.0,65.0,5.56213,211,water,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/130.png
Lapras,131,187.0,2200.0,25.0,35.2,213,water,ice,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/131.png
Ditto,132,101.0,40.0,3.0,44.444443,214,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/132.png
Eevee,133,65.0,65.0,3.0,72.22221,215,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/133.png
Vaporeon,134,184.0,290.0,10.0,29.0,217,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/134.png
Jolteon,135,184.0,245.0,8.0,38.28125,218,electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/135.png
Flareon,136,184.0,250.0,9.0,30.864199,219,fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/136.png
Porygon,137,79.0,365.0,8.0,57.03125,225,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/137.png
Omanyte,138,71.0,75.0,4.0,46.875,228,rock,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/138.png
Omastar,139,173.0,350.0,10.0,35.0,229,rock,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/139.png
Kabuto,140,71.0,115.0,5.0,46.0,230,rock,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/140.png
Kabutops,141,173.0,405.0,13.0,23.964499,231,rock,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/141.png
Aerodactyl,142,180.0,590.0,18.0,18.209877,232,rock,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/142.png
Snorlax,143,189.0,4600.0,21.0,104.3084,235,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/143.png
Articuno,144,290.0,554.0,17.0,19.16955,236,ice,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/144.png
Zapdos,145,290.0,526.0,16.0,20.546873,238,electric,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/145.png
Moltres,146,290.0,600.0,20.0,15.0,240,fire,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/146.png
Dratini,147,60.0,33.0,18.0,1.0185186,242,dragon,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/147.png
Dragonair,148,147.0,165.0,40.0,1.03125,243,dragon,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/148.png
Dragonite,149,300.0,2100.0,22.0,43.388428,244,dragon,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/149.png
Mewtwo,150,340.0,1220.0,20.0,30.5,245,psychic,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/150.png
Mew,151,300.0,40.0,4.0,25.0,248,psychic,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/151.png
Chikorita,152,64.0,64.0,9.0,7.901235,249,grass,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/152.png
Bayleef,153,142.0,158.0,12.0,10.972221,250,grass,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/153.png
Meganium,154,236.0,1005.0,18.0,31.01852,251,grass,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/154.png
Cyndaquil,155,62.0,79.0,5.0,31.6,252,fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/155.png
Quilava,156,142.0,190.0,9.0,23.45679,253,fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/156.png
Typhlosion,157,240.0,795.0,17.0,27.50865,254,fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/157.png
Totodile,158,63.0,95.0,6.0,26.388887,255,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/158.png
Croconaw,159,142.0,250.0,11.0,20.661156,256,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/159.png
Feraligatr,160,239.0,888.0,23.0,16.78639,257,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/160.png
Sentret,161,43.0,60.0,8.0,9.375,258,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/161.png
Furret,162,145.0,325.0,18.0,10.030865,259,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/162.png
Hoothoot,163,52.0,212.0,7.0,43.26531,260,normal,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/163.png
Noctowl,164,158.0,408.0,16.0,15.937499,261,normal,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/164.png
Ledyba,165,53.0,108.0,10.0,10.8,262,bug,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/165.png
Ledian,166,137.0,356.0,14.0,18.163265,263,bug,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/166.png
Spinarak,167,50.0,85.0,5.0,34.0,264,bug,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/167.png
Ariados,168,140.0,335.0,11.0,27.68595,265,bug,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/168.png
Crobat,169,268.0,750.0,18.0,23.14815,75,poison,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/169.png
Chinchou,170,66.0,120.0,5.0,48.0,266,water,electric,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/170.png
Lanturn,171,161.0,225.0,12.0,15.624999,267,water,electric,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/171.png
Pichu,172,41.0,20.0,3.0,22.222221,34,electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/172.png
Cleffa,173,44.0,30.0,3.0,33.333332,63,fairy,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/173.png
Igglybuff,174,42.0,10.0,3.0,11.111111,70,normal,fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/174.png
Togepi,175,49.0,15.0,3.0,16.666666,268,fairy,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/175.png
Togetic,176,142.0,32.0,6.0,8.888888,269,fairy,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/176.png
Natu,177,64.0,20.0,2.0,50.0,271,psychic,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/177.png
Xatu,178,165.0,150.0,15.0,6.6666665,272,psychic,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/178.png
Mareep,179,56.0,78.0,6.0,21.666666,273,electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/179.png
Flaaffy,180,128.0,133.0,8.0,20.78125,274,electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/180.png
Ampharos,181,230.0,615.0,14.0,31.377552,275,electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/181.png
Bellossom,182,245.0,58.0,4.0,36.25,79,grass,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/182.png
Marill,183,88.0,85.0,4.0,53.125,278,water,fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/183.png
Azumarill,184,210.0,285.0,8.0,44.53125,279,water,fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/184.png
Sudowoodo,185,144.0,380.0,12.0,26.388887,281,rock,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/185.png
Politoed,186,250.0,339.0,11.0,28.01653,102,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/186.png
Hoppip,187,50.0,5.0,4.0,3.125,282,grass,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/187.png
Skiploom,188,119.0,10.0,6.0,2.7777777,283,grass,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/188.png
Jumpluff,189,207.0,30.0,8.0,4.6875,284,grass,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/189.png
Aipom,190,72.0,115.0,8.0,17.96875,285,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/190.png
Sunkern,191,36.0,18.0,3.0,19.999998,287,grass,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/191.png
Sunflora,192,149.0,85.0,8.0,13.28125,288,grass,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/192.png
Yanma,193,78.0,380.0,12.0,26.388887,289,bug,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/193.png
Wooper,194,42.0,85.0,4.0,53.125,291,water,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/194.png
